"tweet_id","label","subset","split","source"
"1214268776277053442","misogyny","DDSS","test","twitter"
"1205238250962669568","misogyny","DDSS","train","twitter"
"1207465446296997888","misogyny","MULTI:VARW+DDSS","dev","twitter"
"1208911499047161856","misogyny","MULTI:VARW+DDSS","train","twitter"
"1205023124368048128","misogyny","MULTI:SELA+VARW","train","twitter"
"1205832990934413312","misogyny","MULTI:VARW+DDSS","train","twitter"
"1221468572582629376","misogyny","MULTI:VARW+DDSS","train","twitter"
"1204996431884537856","misogyny","MULTI:SELA+VARW","test","twitter"
"1209611778210115585","misogyny","DDSS","train","twitter"
"1207845240641609729","misogyny","DDSS","train","twitter"
"1207289550126620674","misogyny","MULTI:SELA+VARW","train","twitter"
"1207745845900251136","misogyny","MULTI:SELA+VARW","train","twitter"
"1208229977738633216","misogyny","MULTI:VARW+DDSS","train","twitter"
"1208160409510912008","misogyny","SELA","dev","twitter"
"1211737255208984578","misogyny","SELA","train","twitter"
"1202444894721249281","misogyny","SELA","train","twitter"
"1207776839697129472","misogyny","SELA","dev","twitter"
"1210643148998938625","misogyny","SELA","train","twitter"
"1207373552099450882","misogyny","SELA","train","twitter"
"1206440616101588992","misogyny","SELA","dev","twitter"
"1206646560618094594","misogyny","MULTI:SELA+VARW","train","twitter"
"1212574990454923265","misogyny","DDSS","test","twitter"
"1204425536916905985","misogyny","SELA","train","twitter"
"1207453546834276358","misogyny","SELA","train","twitter"
"1205895318212136961","misogyny","MULTI:SELA+VARW","test","twitter"
"1210866454070988801","misogyny","VARW","test","twitter"
"1204470688624652288","misogyny","SELA","dev","twitter"
"1204535986971131911","misogyny","SELA","dev","twitter"
"1206072779000438784","misogyny","SELA","test","twitter"
"1205521128179011586","misogyny","SELA","train","twitter"
"1206606011534057474","misogyny","SELA","train","twitter"
"1205642520350396417","misogyny","MULTI:SELA+VARW","train","twitter"
"1213870892138323970","misogyny","MULTI:SELA+VARW","train","twitter"
"1209256450507206657","misogyny","SELA","train","twitter"
"1206924747013066752","misogyny","MULTI:SELA+VARW","train","twitter"
"1212736562410270721","misogyny","SELA","test","twitter"
"1207030524285530113","misogyny","SELA","train","twitter"
"1206922173195132929","misogyny","SELA","train","twitter"
"1212465186084446208","misogyny","SELA","train","twitter"
"1210568080444837890","misogyny","SELA","train","twitter"
"1205339921436860416","misogyny","SELA","dev","twitter"
"1202719392729096193","misogyny","SELA","dev","twitter"
"1210673404904431624","misogyny","SELA","train","twitter"
"1210755666878451712","misogyny","SELA","dev","twitter"
"1207709398216380416","misogyny","SELA","train","twitter"
"1206835309704556545","misogyny","SELA","train","twitter"
"1209887570177511425","misogyny","SELA","train","twitter"
"1206836167464882176","misogyny","SELA","dev","twitter"
"1205639421028130818","misogyny","MULTI:SELA+VARW","train","twitter"
"1207699408558731270","misogyny","SELA","train","twitter"
"1209728624691236866","misogyny","SELA","train","twitter"
"1207450300350644224","misogyny","SELA","train","twitter"
"1210712961095995393","misogyny","SELA","dev","twitter"
"1207419332592099328","misogyny","SELA","train","twitter"
"1213824723345391616","misogyny","VARW","dev","twitter"
"1209002719299674112","misogyny","SELA","dev","twitter"
"1212428492853383175","misogyny","SELA","test","twitter"
"1205857807834263557","misogyny","MULTI:SELA+VARW","train","twitter"
"1237402892564402176","misogyny","SELA","dev","twitter"
"1211080051388801024","misogyny","SELA","train","twitter"
"1206632177263370242","misogyny","SELA","test","twitter"
"1203627609759920128","misogyny","SELA","train","twitter"
